times,area,coastal_name,layer_name,temperature,salinity,pH,dissolved_oxygen,COD,chlorophyll,TN,DIP,TP,Si_OH4,SPM,DIN
2021,"남해","진해만","표층",17.49,31.84,8.15,8.39,1.81,3.52,198.30,4.90,23.50,276.20,5.30,33.70
2021,"남해","거제도동안","표층",18.33,32.80,8.20,8.62,1.53,2.25,162.90,5.40,20.70,175.30,8.40,31.50
2021,"남해","거제도남안","표층",18.12,33.20,8.08,7.99,1.38,2.07,179.80,11.50,24.90,281.60,11.10,54.70
2021,"남해","통영연안","표층",18.00,32.83,8.06,8.19,1.70,2.92,203.80,11.10,29.50,292.90,11.00,58.90
2021,"남해","통영외안","표층",18.04,33.20,8.13,8.34,1.58,1.73,146.30,7.70,21.10,213.10,11.20,41.90
2021,"남해","고성자란만","표층",18.51,32.73,8.04,8.38,1.51,1.88,165.30,8.40,25.50,260.10,8.20,29.40
2021,"남해","사천연안","표층",18.01,32.79,8.09,8.04,1.95,2.09,186.80,10.00,24.30,226.30,11.70,32.60
2021,"남해","진주만","표층",18.42,32.12,8.02,7.92,1.98,4.90,209.90,12.30,35.30,384.00,9.30,33.60
2021,"남해","남해도남안","표층",18.47,32.99,8.14,8.21,1.17,1.55,146.80,6.10,18.80,195.20,8.10,43.00
2021,"남해","여수연안","표층",18.12,32.35,8.13,8.55,1.83,3.12,181.40,9.50,26.90,222.30,9.50,46.80
2021,"남해","여자만","표층",18.27,31.55,8.06,8.68,2.60,4.73,225.30,11.10,47.00,490.10,39.20,37.90
2021,"남해","고흥연안","표층",17.75,32.71,8.12,8.40,1.45,1.71,160.00,9.60,24.70,277.50,31.40,52.70
2021,"남해","제주연안","표층",19.46,33.26,8.21,8.42,0.98,1.28,142.60,5.00,13.20,176.00,31.00,53.50
2021,"남해","조천연안","표층",19.22,33.33,8.21,8.43,1.08,1.84,154.90,5.30,13.50,137.60,27.90,47.20
2021,"남해","성산연안","표층",19.16,33.57,8.22,8.83,1.20,1.13,140.20,4.10,11.60,133.10,25.70,42.90
2021,"남해","표선연안","표층",19.44,33.54,8.25,8.88,1.31,2.04,165.40,5.10,15.60,196.00,25.50,48.20
2021,"남해","서귀포연안","표층",19.73,33.61,8.21,8.95,1.21,1.26,150.40,4.70,11.00,260.40,26.10,65.80
2021,"남해","대정연안","표층",19.31,33.66,8.16,8.51,0.99,1.13,159.40,5.70,12.50,152.70,28.70,60.40
2021,"남해","한림연안","표층",19.22,33.52,8.18,8.64,1.22,0.61,148.30,7.20,13.00,191.50,26.30,72.00
2021,"남해","진도연안","표층",16.78,32.17,8.09,8.51,1.65,1.38,217.70,13.20,30.40,311.60,24.30,98.40
2021,"남해","해남만","표층",17.27,29.14,8.00,9.07,1.56,2.31,337.10,15.60,30.90,270.70,12.80,195.50
2021,"남해","기장연안","표층",18.12,33.28,8.11,7.88,1.12,1.58,183.50,10.30,22.60,303.00,8.30,82.40
2021,"동해","거진연안","표층",16.15,33.59,8.25,8.98,1.33,1.64,153.10,6.80,17.80,165.80,6.50,45.80
2021,"동해","속초연안","표층",15.93,33.65,8.24,8.91,1.33,1.51,151.80,6.80,16.80,168.70,9.00,45.60
2021,"동해","양양연안","표층",16.06,33.73,8.24,8.65,1.46,1.33,167.50,6.50,16.60,150.20,7.20,33.30
2021,"동해","주문진연안","표층",15.66,33.86,8.22,9.11,1.41,1.39,159.30,7.00,16.20,157.70,6.80,47.00
2021,"동해","강릉연안","표층",16.04,33.90,8.20,8.76,1.31,1.10,139.10,8.00,16.70,168.90,7.30,50.00
