latitude,longitude,value
33.5018,123.1675,1
32.8137,123.679,1
31.376,124.3938,1
31.9741,124.2571,1
33.2413,123.5527,1
33.6219,123.7026,1
32.8089,123.2692,1
31.583,127.8859,1
31.8637,126.0246,1
31.7811,125.6628,1
33.0247,126.9285,1
32.6759,127.6314,1
32.1856,125.4645,1
32.2498,125.0081,1
31.5332,124.4321,1
33.5002,124.6968,1
31.91,125.5923,1
33.5561,124.8589,1
33.0166,124.8626,1
32.6914,126.9556,1
32.2907,124.9933,1
32.6216,126.3239,1
32.2244,126.2925,1
31.5492,124.3575,1
32.7511,124.6376,1
33.4854,126.4508,1
33.4645,127.3791,1
33.5505,123.3756,1
33.0368,123.7716,1
33.4648,127.309,1
32.5609,126.5646,1
31.8524,125.4933,1
31.5287,125.98,1
31.4273,124.4532,1
33.1878,124.199,1
32.0073,126.8877,1
32.0212,124.2758,1
31.6528,125.8209,1
33.6222,124.0587,1
33.4396,125.049,1
32.2075,123.6992,1
33.5732,124.0124,1
32.6472,124.6774,1
32.5901,124.9018,1
32.7075,124.375,1
32.2747,124.8529,1
32.0805,124.2661,1
33.2451,126.9892,1
32.2634,125.4502,1
31.8889,124.5639,5
33.2755,123.9101,1
32.0372,124.5979,1
33.1921,126.0753,1
32.4248,123.4155,1
32.3965,124.4336,1
33.3814,128.0472,1
33.3712,125.0855,1
32.5619,124.4,1
32.2042,124.8122,1
31.656,125.7144,1
33.4525,126.0453,1
32.7875,124.5076,1
32.6957,127.3418,1
32.4056,127.1284,1
32.4164,123.1928,1
32.0742,124.0301,1
32.8636,126.578,1
32.5514,127.9879,1
32.7667,124.7253,1
31.3364,127.2559,5
31.5803,123.2675,1
32.5687,127.205,1
31.6616,127.0009,1
33.0447,127.9511,1
32.874,127.6681,1
32.499,123.2409,1
33.3467,126.6433,1
33.603,124.4698,1
32.284,126.6171,1
31.8222,123.4149,1
32.3095,125.23,1
33.4443,123.8867,1
32.1575,127.5021,1
33.2229,123.9175,1
33.0811,124.1535,1
33.1344,125.264,1
33.3467,126.4708,1
33.5129,125.7398,1
32.0091,125.9128,1
31.4751,125.4999,1
32.347,125.9033,1
31.8867,126.057,1
33.7025,124.0694,1
32.2711,125.3998,1
32.0635,126.2366,1
32.2461,127.7143,1
31.4139,125.1417,1
33.6583,126.9793,1
31.5957,124.3921,5
33.2619,125.5502,1
37.7114,125.4913,1
35.5162,124.4674,2
37.0443,125.7001,1
35.7505,124.848,1
34.01,124.6481,1
36.3126,123.186,1
35.3891,125.5408,3
37.3823,125.1417,3
36.1453,123.108,1
34.1874,123.8441,1
35.333,124.2194,1
35.6811,123.1982,4
37.6236,125.5939,4
35.903,125.3477,1
36.0319,124.8079,1
36.3121,123.5817,1
35.9822,125.2265,1
34.1498,124.1424,1
35.2706,125.4672,1
36.4556,123.5016,1
37.2439,123.1069,1
35.3679,125.4232,1
34.0537,125.1463,2
36.6362,123.2599,1
34.8568,123.7191,4
36.9782,125.8989,3
34.5884,126.1757,2
37.663,125.0455,1
37.7809,123.3147,1
37.6771,124.1423,5
36.7149,125.1461,1
36.027,123.3964,1
34.6281,124.839,2
35.097,123.322,1
36.0138,125.5169,1
36.6055,124.5663,4
36.4475,123.5532,4
36.244,125.298,5
34.0471,124.7954,1
36.5016,125.151,3
35.4934,125.5422,3
36.1464,125.3637,1
34.6961,124.5096,1
35.3104,124.2681,3
37.2359,124.5614,1
37.3479,125.8155,2
36.8534,123.7649,4
35.2569,123.4132,4
37.69,124.7681,1
34.4798,125.6086,1
37.0548,125.904,1
35.7028,123.5381,1
35.891,125.99,2
37.0129,126.0423,3
35.7575,124.4589,1
36.7702,125.2764,1
36.7848,124.0428,4
35.5724,123.9225,1
34.9924,123.1223,4
35.2285,123.7237,1
37.5696,124.9936,1
37.538,125.7074,1
35.3943,125.1478,1
34.9904,125.0848,1
37.1912,125.9989,1
36.6738,124.8878,1
35.4107,126.0935,1
34.4015,124.0442,5
36.2075,123.1136,1
35.6773,124.8492,4
37.193,125.1452,1
37.2285,124.6051,1
36.9558,123.2988,1
34.8276,125.1449,4
35.2317,124.1137,1
35.9623,124.0898,4
34.2382,123.397,1
34.7799,123.6821,1
37.3354,124.6725,1
34.6506,125.803,1
37.6428,125.597,1
34.0941,126.1278,2
36.7039,125.5696,2
35.8254,124.5612,5
37.4503,123.6201,5
36.5984,123.2008,1
34.3179,123.1219,3
36.5591,124.2552,2
36.5261,124.968,2
36.9842,124.8417,1
36.6673,124.5873,3
34.8208,124.5083,1
34.8396,126.0893,1
34.3274,124.0054,1
37.5748,125.4118,2
34.8529,124.3855,1
37.1303,125.6133,3
36.2071,126.1361,1
37.2736,123.981,1
34.987,123.2705,1
37.9663,131.5865,4
37.8331,129.8852,2
38.9118,130.045,1
38.1826,129.8231,1
39.6865,131.2542,1
38.3827,129.5248,2
38.9408,131.8097,1
38.9318,130.848,1
39.8542,131.8783,1
39.2495,130.9484,1
39.5304,129.8362,2
38.2739,129.6339,1
38.5345,129.7386,1
38.2602,131.934,1
39.5289,129.5839,1
38.0983,130.1983,1
38.1369,130.4746,1
39.7324,130.0345,1
38.5899,130.3647,1
37.7642,129.2328,3
39.7666,129.2123,1
39.3782,129.7896,1
38.222,131.8566,1
38.2359,129.7932,1
37.3202,129.5254,4
37.8825,130.0015,1
38.6686,131.9367,1
37.4372,131.0155,2
38.8948,129.6325,1
38.6376,130.3645,1
38.0598,130.0112,1
38.3994,130.039,1
39.1728,131.1349,1
39.4671,130.1049,1
38.2769,129.3502,1
37.5788,131.868,1
38.8151,130.893,1
39.3891,131.0174,4
38.1699,131.7667,2
37.8666,129.8464,1
39.2114,130.1934,1
39.5154,131.8153,1
39.4422,131.7171,1
39.4014,131.4036,1
39.4968,131.8993,1
38.0548,131.2272,1
37.5472,129.9529,1
39.735,129.4811,1
37.3543,129.7524,1
38.4143,130.9025,1
39.26,129.8207,1
38.4021,131.2076,3
37.8565,130.5377,1
37.5382,129.2894,1
38.8505,129.9039,2
38.4938,131.224,1
39.6561,130.7505,3
37.3273,129.6478,2
38.6849,129.7091,1
38.0818,131.4781,1
38.3979,130.0331,1
39.7387,129.4622,2
38.7217,131.7684,1
38.549,130.0274,3
39.3369,129.2615,3
39.3471,131.5205,1
39.5458,129.629,1
39.9271,130.2421,1
38.0372,131.2441,1
37.6794,129.4694,1
38.8381,129.3477,3
38.0746,130.1618,4
39.9619,130.8467,1
39.3832,129.7399,1
39.7387,129.5293,1
39.9276,131.6127,2
37.3379,129.281,1
39.908,129.8678,1
37.3039,129.5196,1
38.8442,130.9075,4
38.2856,131.7505,3
39.0988,131.5844,1
38.9365,129.3956,1
38.9115,130.1293,3
39.1695,131.327,1
39.9099,130.8889,5
39.1887,129.5833,1
37.8917,130.0403,2
39.6663,129.527,1
37.3967,130.9553,2
39.8976,131.43,1
39.4835,131.7553,1
39.1535,129.8686,1
38.2314,131.9225,1
37.7096,130.6615,2
37.6461,129.7066,2
38.2176,131.4723,1
37.5932,129.8066,2
38.1736,130.5034,2
37.389,131.7781,1
29.2716,128.344,1
28.1248,129.1795,1
31.9309,128.7811,1
33.5047,128.6114,2
33.7921,126.0037,1
31.732,126.8341,1
33.9285,127.6118,1
30.8979,128.5757,1
29.9315,128.4998,1
33.4897,129.206,1
29.6958,127.8921,1
31.6906,129.9885,3
28.181,128.2631,1
32.9318,128.9868,2
33.0618,128.3768,2
33.6495,126.8884,1
29.0645,127.31,2
28.626,127.7048,1
32.8187,126.5706,1
28.9555,129.1511,4
33.8324,126.05,1
32.3888,127.8585,2
29.8244,129.7798,2
30.6426,128.6089,1
33.5272,129.5486,1
31.3756,129.8308,1
30.0444,127.9023,1
32.9193,128.7454,1
32.0369,127.7332,1
32.0988,128.4028,1
31.7856,128.6321,5
30.9666,126.3918,1
32.6413,127.8868,1
31.3798,129.9379,1
28.6947,128.3191,2
33.4275,126.3731,4
28.6001,129.0544,1
32.2636,126.8631,5
33.4242,126.892,5
33.4473,128.6862,1
29.1197,127.1618,1
29.2385,127.7869,1
32.7989,127.7536,1
30.5551,126.4398,5
30.5437,128.5103,1
28.1468,126.0484,1
31.9645,128.342,1
28.8265,126.0177,1
30.9154,127.4465,1
28.9635,128.2342,1
30.6783,129.886,1
32.0448,126.8929,1
28.3637,127.4077,2
28.312,128.7462,1
28.0506,128.6539,1
32.9044,128.5373,1
32.1949,128.5277,1
31.0591,127.6755,1
32.8076,129.8887,2
32.5199,126.1117,1
30.6896,128.9461,2
28.1392,129.7139,1
29.2041,128.0501,1
28.8631,128.2822,1
28.9343,127.3176,1
33.5242,128.5678,1
32.3983,126.1685,2
33.0822,129.8329,1
31.8705,128.298,1
29.2496,129.8077,2
33.431,127.5728,1
28.4865,126.7089,1
28.4595,128.316,1
33.303,127.5923,1
28.0197,127.9582,2
28.6393,129.7312,2
32.8531,129.4295,1
31.2043,127.0484,2
30.838,128.3686,1
29.133,129.7159,1
29.9058,128.9445,1
31.9991,126.4642,1
29.9822,127.401,1
31.518,129.6905,1
32.4743,128.8086,2
32.2055,127.1235,3
31.87,126.448,1
32.7883,128.709,1
29.9944,129.1867,1
33.6698,127.6907,1
30.599,127.2533,1
28.2558,128.8369,1
28.0758,129.9282,1
32.2887,128.1405,1
28.9507,128.0303,5
32.8306,126.9974,3
32.0405,129.7635,1
33.1171,129.5397,1
31.9492,129.5459,1
32.9154,128.8778,1
38.42,132.6559,2
40.4173,132.6515,1
37.6984,130.678,1
40.0836,134.598,2
40.5254,133.2356,1
40.986,133.4253,1
39.7633,135.3606,1
41.6913,130.3941,1
40.0452,135.1506,4
41.5072,130.8829,1
39.9413,135.224,1
38.2557,135.0733,1
41.0504,130.821,1
38.2138,134.7798,1
37.1514,132.9318,2
36.1726,131.3135,2
38.0691,132.87,2
41.3557,134.7118,1
40.1882,132.0424,1
38.5158,133.2467,1
40.9797,134.2201,2
39.2035,135.1246,1
38.343,131.0263,2
37.2344,133.9045,2
36.3177,132.4543,4
36.9413,131.4551,1
39.0982,130.9065,1
39.8809,132.3486,1
39.4289,131.0969,1
40.5349,132.9468,1
41.1621,132.0204,1
39.5622,132.2545,2
39.4092,130.9569,2
37.3815,133.8094,1
36.9221,132.4169,1
39.0093,130.2123,1
37.1873,133.1344,1
37.4189,134.2776,1
39.8172,134.9464,1
37.888,132.6988,1
37.0471,134.0264,2
38.2876,132.4686,4
41.8396,132.5973,1
40.3067,132.7894,1
41.0935,132.8771,1
36.8876,132.1124,2
38.7841,133.2599,1
40.0447,131.5824,1
37.6266,130.6624,1
36.3035,130.9092,1
41.4237,131.6704,1
36.9025,130.3645,1
36.7937,130.7637,1
38.0628,132.2516,1
38.4871,134.338,4
39.6835,130.1217,1
37.4014,133.6567,2
39.8048,131.0038,1
40.117,132.5146,1
41.6232,130.7392,1
37.6318,131.0346,1
38.7511,130.6179,1
40.8182,132.7495,1
39.7892,131.4193,3
40.1177,132.2457,1
