COD,DIN,DIP,Grade,SD,SPM,Si_OH4,TN,TP,WQI,area,chlorophyll,coastal_name,dissolved_oxygen,id,latitude,layer_name,longitude,pH,salinity,temperature,times
1.82,231.04,25.32,V (아주 나쁨),6.5,12.68,157.53,174.34,33.47,636,서해,3.78,죽변연안,9.32,0.0,34.5071,표층,130.163,8.17,30.88,14.02,2023-08-09 13:04:53
1.28,170.85,24.53,V (아주 나쁨),2.5,10.22,470.45,128.68,21.0,493,서해,2.62,조천연안,8.72,1.0,42.0004,표층,132.4178,8.17,29.59,16.04,2023-08-09 13:04:58
1.66,62.73,8.24,V (아주 나쁨),8.0,31.36,442.95,386.89,23.12,257,남해,2.85,영일만,8.32,2.0,33.6063,표층,126.2323,8.05,33.09,16.89,2023-08-09 13:05:03
1.74,104.12,16.05,V (아주 나쁨),7.5,30.96,254.57,252.36,38.1,341,동해,0.45,감포연안,7.73,3.0,42.2289,표층,133.425,8.21,31.74,17.25,2023-08-09 13:05:09
1.8,102.25,14.91,V (아주 나쁨),6.0,45.61,345.92,301.35,17.05,363,서해,3.89,양양연안,9.98,4.0,35.45,표층,132.851,8.2,29.97,13.7,2023-08-09 13:05:14
1.18,208.85,24.13,V (아주 나쁨),4.0,13.98,374.28,326.0,22.92,575,남해,3.18,천수만,8.84,5.0,34.3884,표층,129.3564,8.24,30.2,13.31,2023-08-09 13:05:19
1.58,131.87,17.73,V (아주 나쁨),6.0,23.79,335.32,318.34,18.39,405,남해,1.36,강릉연안,8.45,6.0,36.3176,표층,121.8726,8.09,31.47,18.08,2023-08-09 13:07:15
1.59,232.61,22.27,V (아주 나쁨),5.5,46.17,364.98,214.04,15.35,627,남해,2.34,동해연안,9.47,7.0,35.5049,표층,125.0688,8.17,30.01,13.28,2023-08-09 13:07:20
2.0,100.33,13.41,V (아주 나쁨),7.0,19.46,198.23,170.59,19.35,343,동해,1.7,아산연안,8.96,8.0,42.0655,표층,135.9415,8.23,32.06,15.28,2023-08-09 13:07:25
1.5,159.89,4.39,V (아주 나쁨),7.5,29.2,338.5,296.61,14.64,450,남해,0.89,강구연안,9.64,,39.9697,표층,132.6587,8.13,29.33,17.47,2023-08-09 13:08:28
1.42,159.14,25.32,V (아주 나쁨),7.5,29.78,314.88,129.72,30.91,490,남해,3.55,대산연안,8.88,,35.8454,표층,126.2708,8.18,30.33,15.39,2023-08-09 13:08:32
1.73,76.43,20.44,V (아주 나쁨),3.5,16.35,240.05,129.49,23.08,298,남해,1.16,목포연안,9.09,,36.5474,표층,126.3887,8.08,31.78,14.48,2023-08-09 13:08:38
