times,area,coastal_name,layer_name,temperature,salinity,pH,dissolved_oxygen,COD,chlorophyll,TN,DIP,TP,Si_OH4,SPM,DIN
2018,"남해","진해만","표층",17.00,32.24,8.21,8.30,1.95,2.56,193.50,8.10,25.10,225.30,4.90,62.50
2018,"남해","거제도동안","표층",18.95,33.35,8.24,8.24,1.24,1.45,127.20,5.80,16.20,186.10,6.20,32.10
2018,"남해","거제도남안","표층",17.51,33.65,8.17,7.65,1.31,1.56,150.50,10.20,20.40,303.10,5.10,54.30
2018,"남해","통영연안","표층",17.60,33.31,8.13,8.07,1.34,2.61,217.00,11.60,25.50,287.70,6.30,82.10
2018,"남해","통영외안","표층",17.95,33.54,8.21,7.93,1.26,1.17,143.10,8.40,18.30,244.30,6.00,48.50
2018,"남해","고성자란만","표층",17.62,33.22,8.06,7.79,1.65,1.62,181.70,11.00,24.90,323.60,6.50,48.50
2018,"남해","사천연안","표층",17.46,33.08,8.10,7.60,1.33,1.89,155.90,12.40,24.70,257.80,8.70,52.50
2018,"남해","진주만","표층",16.74,32.74,8.14,8.21,1.54,2.90,205.70,14.50,32.00,324.70,15.30,67.40
2018,"남해","남해도남안","표층",17.35,33.39,8.23,8.33,1.24,1.18,147.50,8.50,18.20,242.80,6.20,51.90
2018,"남해","여수연안","표층",17.22,32.88,8.18,7.75,1.39,1.91,195.60,14.00,27.60,314.20,10.40,82.80
2018,"남해","여자만","표층",16.31,32.16,8.16,8.01,1.78,3.05,251.00,17.90,38.40,476.50,27.60,104.30
2018,"남해","고흥연안","표층",16.79,33.20,8.21,8.22,1.31,1.53,182.40,11.20,24.20,285.00,14.80,69.40
2018,"남해","제주연안","표층",17.65,33.78,8.17,8.29,1.03,1.40,158.30,7.50,19.10,201.60,5.60,51.40
2018,"남해","조천연안","표층",17.55,33.73,8.16,8.10,1.20,0.43,162.20,7.60,17.80,226.00,7.20,71.40
2018,"남해","성산연안","표층",18.48,33.84,8.16,8.29,1.18,0.62,131.00,6.20,14.50,461.80,6.90,42.50
2018,"남해","표선연안","표층",18.84,33.78,8.19,8.00,1.08,0.80,130.00,5.30,14.40,173.00,7.20,35.80
2018,"남해","서귀포연안","표층",18.80,33.69,8.13,8.19,1.31,0.73,153.40,6.10,15.70,388.60,7.80,68.30
2018,"남해","대정연안","표층",18.41,33.87,8.13,8.42,1.20,0.84,135.10,6.00,16.20,161.40,5.80,43.50
2018,"남해","한림연안","표층",18.23,33.84,8.15,8.51,1.26,0.73,125.90,5.30,13.60,160.00,7.50,45.30
2018,"남해","진도연안","표층",15.74,32.85,8.07,9.83,1.59,0.95,204.40,15.80,36.80,326.50,46.00,106.40
2018,"남해","해남만","표층",16.81,31.72,8.21,9.62,1.97,2.75,212.40,9.30,25.30,238.80,14.60,101.20
2018,"남해","기장연안","표층",18.00,33.66,8.23,8.04,1.17,0.97,139.00,7.30,18.70,251.40,5.80,49.80
2018,"동해","거진연안","표층",13.66,33.56,8.16,9.31,1.31,0.92,145.70,6.20,16.70,169.40,6.00,62.00
2018,"동해","속초연안","표층",14.88,33.53,8.20,9.00,1.09,1.20,134.60,4.90,15.10,109.80,6.60,42.10
2018,"동해","양양연안","표층",14.98,33.65,8.18,9.01,1.17,0.94,126.00,4.80,15.30,120.30,4.40,39.50
2018,"동해","주문진연안","표층",15.24,33.56,8.13,8.73,1.15,0.91,150.40,5.50,16.70,141.20,5.20,46.50
2018,"동해","강릉연안","표층",15.61,33.58,8.13,8.68,1.10,0.79,130.30,5.10,14.90,121.70,4.90,43.80
2018,"동해","동해연안","표층",15.81,33.65,8.17,8.80,1.30,1.06,125.50,4.40,15.10,120.80,5.20,42.30
2018,"동해","삼척연안","표층",16.15,33.59,8.18,8.72,1.10,1.00,141.50,4.10,16.80,130.20,5.70,41.90
2018,"동해","죽변연안","표층",16.54,33.72,8.26,8.75,1.16,0.73,124.50,4.10,15.60,151.80,6.40,38.00
2018,"동해","후포연안","표층",17.58,33.57,8.16,8.35,1.14,1.08,131.30,6.20,13.70,205.20,4.60,49.30
2018,"동해","축산연안","표층",17.58,33.61,8.18,8.50,1.26,1.21,126.40,6.30,14.30,250.60,5.10,42.50
2018,"동해","강구연안","표층",16.76,33.12,8.14,8.79,1.50,1.37,148.80,4.50,15.60,147.70,4.50,38.10
2018,"동해","월포연안","표층",16.71,33.59,8.19,8.60,1.32,1.19,121.60,4.20,13.80,133.00,5.20,30.20
2018,"동해","영일만","표층",16.64,33.36,8.22,8.69,1.48,1.55,191.70,6.50,19.50,197.60,5.50,65.20
2018,"동해","구룡포연안","표층",17.58,33.66,8.14,8.31,1.18,1.27,125.90,6.00,17.00,182.30,6.40,43.50
2018,"동해","감포연안","표층",17.44,33.67,8.17,8.15,1.17,0.84,146.20,8.50,18.60,238.80,5.40,55.60
2018,"서해","신안연안","표층",15.79,32.51,8.13,8.73,1.54,1.54,200.90,14.10,27.60,306.10,29.70,114.10
2018,"서해","무안연안","표층",15.88,31.02,8.13,10.04,1.60,1.70,300.30,19.30,37.90,387.40,44.30,192.00
2018,"서해","고창연안","표층",16.43,31.45,8.21,9.62,2.10,3.09,213.50,10.50,37.90,145.00,50.40,36.50
2018,"서해","전주포연안","표층",14.63,31.12,8.21,9.01,2.15,2.31,201.10,7.80,23.20,100.90,14.30,39.40
2018,"서해","군산연안","표층",14.57,29.06,8.13,8.38,2.21,2.73,386.10,16.60,39.30,202.50,15.00,195.90
