times,area,coastal_name,layer_name,temperature,salinity,pH,dissolved_oxygen,COD,chlorophyll,TN,DIP,TP,Si_OH4,SPM,DIN
2022,"남해","진해만","표층",17.09,32.53,8.15,8.45,2.05,1.32,187.20,7.60,24.90,188.20,5.90,26.70
2022,"남해","거제도동안","표층",16.62,33.00,8.17,8.03,1.91,1.28,185.20,9.30,22.70,263.40,10.60,64.80
2022,"남해","거제도남안","표층",16.75,33.51,8.16,8.36,1.43,1.26,163.80,9.70,24.70,297.20,11.90,44.30
2022,"남해","통영연안","표층",16.24,33.28,8.10,8.22,1.76,2.35,211.00,12.20,29.90,343.20,10.10,59.80
2022,"남해","통영외안","표층",16.33,33.43,8.08,8.35,1.60,1.47,169.20,8.30,21.80,266.60,11.50,37.90
2022,"남해","고성자란만","표층",16.84,33.10,8.00,8.15,1.97,1.43,161.50,7.20,21.80,350.70,9.00,16.10
2022,"남해","사천연안","표층",16.21,33.16,8.03,8.17,2.05,2.34,166.90,9.60,24.10,258.80,9.50,27.00
2022,"남해","진주만","표층",16.52,32.74,7.98,8.15,1.88,2.16,189.40,11.30,29.70,289.40,12.20,35.10
2022,"남해","남해도남안","표층",16.43,33.17,8.16,8.89,1.68,1.16,162.60,7.30,22.70,200.20,10.40,38.90
2022,"남해","여수연안","표층",16.39,32.77,8.17,9.23,1.90,1.68,158.10,5.30,24.10,127.20,12.10,21.80
2022,"남해","여자만","표층",16.85,32.20,8.07,8.86,2.65,2.34,210.10,12.60,42.60,491.00,14.60,20.80
2022,"남해","고흥연안","표층",15.81,33.01,8.02,8.71,1.73,1.48,159.50,8.30,23.50,216.40,13.40,34.40
2022,"남해","제주연안","표층",20.01,32.53,8.11,7.57,1.46,0.96,141.30,6.90,14.80,224.30,4.60,44.50
2022,"남해","조천연안","표층",19.80,32.66,8.13,7.73,1.58,0.74,146.20,7.00,15.40,223.00,3.80,37.90
2022,"남해","성산연안","표층",20.08,32.98,8.17,7.57,1.74,0.66,119.30,5.90,12.70,188.90,4.10,30.90
2022,"남해","표선연안","표층",20.50,33.04,8.16,7.56,1.62,0.67,168.20,6.10,14.20,196.70,11.50,35.50
2022,"남해","서귀포연안","표층",20.59,32.98,8.17,7.66,1.31,0.83,181.20,6.50,14.60,257.00,3.80,73.60
2022,"남해","대정연안","표층",19.96,33.36,8.15,7.41,1.43,0.75,118.80,5.00,12.40,180.90,4.70,27.50
2022,"남해","한림연안","표층",19.46,33.30,8.08,7.52,1.62,0.60,179.60,7.20,15.40,220.80,5.60,46.50
2022,"남해","진도연안","표층",15.53,32.62,8.14,8.88,1.73,1.79,209.10,14.30,28.20,323.70,29.90,92.80
2022,"남해","해남만","표층",16.50,31.26,8.34,9.08,1.71,3.64,235.90,11.30,27.20,275.30,15.80,86.50
2022,"남해","기장연안","표층",17.89,33.44,8.19,8.42,1.83,1.57,153.90,9.80,22.10,241.40,8.60,57.10
2022,"동해","거진연안","표층",15.35,32.67,8.20,8.88,2.09,1.28,137.50,4.40,14.70,78.90,5.20,29.10
2022,"동해","속초연안","표층",15.71,32.95,8.18,8.55,1.93,1.28,147.80,5.20,15.30,89.50,5.20,37.50
2022,"동해","양양연안","표층",16.26,32.85,8.20,8.69,1.74,1.12,146.10,5.50,16.00,136.20,6.50,40.50
2022,"동해","주문진연안","표층",16.55,32.94,8.19,8.60,1.59,0.94,141.20,5.80,16.20,140.40,8.10,43.30
2022,"동해","강릉연안","표층",16.36,32.91,8.19,8.50,1.46,0.93,168.00,5.50,21.40,184.70,8.60,54.80
2022,"동해","동해연안","표층",16.64,33.34,8.20,8.69,1.65,1.39,153.10,6.60,17.30,161.90,4.60,49.20
2022,"동해","삼척연안","표층",16.02,32.93,8.18,8.59,1.68,1.12,174.60,7.60,18.50,182.90,8.10,67.60
2022,"동해","죽변연안","표층",17.88,33.51,8.19,8.18,1.46,0.58,146.20,6.70,15.60,159.60,5.30,46.40
2022,"동해","후포연안","표층",16.63,33.81,8.22,8.65,1.41,0.97,140.50,5.10,15.90,121.50,4.90,34.90
2022,"동해","축산연안","표층",15.22,33.42,8.16,8.30,1.46,1.03,152.00,7.60,18.70,200.80,5.80,49.00
2022,"동해","강구연안","표층",14.66,33.73,8.15,8.36,1.52,0.92,166.60,9.80,20.60,240.70,8.70,67.60
2022,"동해","월포연안","표층",16.03,33.76,8.18,8.59,1.54,1.27,140.80,6.40,16.80,182.60,4.30,43.90
2022,"동해","영일만","표층",15.59,33.47,8.17,9.18,1.53,2.72,172.50,4.70,22.90,176.60,8.10,41.40
2022,"동해","구룡포연안","표층",16.75,33.68,8.14,8.41,1.48,1.94,149.50,7.20,18.90,173.50,5.20,49.40
2022,"동해","감포연안","표층",16.19,33.71,8.14,8.71,1.56,2.41,159.80,8.50,21.50,225.80,5.70,54.20
2022,"서해","신안연안","표층",15.92,32.11,8.26,8.54,1.77,2.00,233.80,17.20,32.80,371.80,31.00,120.10
2022,"서해","무안연안","표층",16.51,31.84,8.23,8.44,1.94,2.61,237.00,15.40,33.30,347.90,28.70,99.50
2022,"서해","고창연안","표층",16.01,31.60,8.29,8.49,1.98,6.22,221.00,9.00,33.90,156.80,46.30,47.10
2022,"서해","전주포연안","표층",15.55,30.86,8.36,9.11,2.18,5.47,222.40,7.30,28.60,104.60,11.20,35.00
2022,"서해","군산연안","표층",15.48,27.35,8.27,8.67,2.84,7.18,528.40,12.90,36.80,376.70,27.40,283.00
